"Age","State","Income","Education","Employment","Marital","Smokes","Political","Name","Occupation"
31,"Virginia",42021.61,"9th Grade to 12th Grade, No Diploma","Student","Widowed",FALSE,"Republican","Sutton","Teacher"
65,"Idaho",27583.05,"Master's Degree","Student","Widowed",FALSE,"Democrat","Aileny","Data Scientist"
65,"South Dakota",35907.66,"Some College, 1 or More Years, No Degree","Full Time","Widowed",FALSE,"Republican","Shyma","Data Scientist"
47,"Maryland",54878.4,"GED or Alternative Credential","Full Time","Never Married",FALSE,"Democrat","Burr","Marketer"
55,"California",19195.2,"Some College, 1 or More Years, No Degree","Full Time","Separated",FALSE,"Democrat","Shoniqua","Farmer"
43,"New York",25353.82,"Some College, Less than 1 Year","Student","Widowed",FALSE,"Democrat","Amarii","Teacher"
65,"Michigan",20306.09,"Regular High School Diploma","Full Time","Widowed",FALSE,"Republican","Ylenia","Marketer"
81,"Indiana",61407.13,"Some College, Less than 1 Year","Full Time","Separated",FALSE,"Democrat","Roddey","Teacher"
85,"California",12032.58,"Bachelor's Degree","Full Time","Separated",FALSE,"Democrat","Hadja","Marketer"
88,"Kansas",62038.23,"Master's Degree","Retired","Widowed",FALSE,"Democrat","Margues","Unemployed"
60,"Maine",32986.25,"Bachelor's Degree","Full Time","Divorced",FALSE,"Republican","Thristen","Unemployed"
18,"Illinois",21110.82,"9th Grade to 12th Grade, No Diploma","Full Time","Never Married",FALSE,"Republican","Bethzaira","Marketer"
34,"Colorado",50912.08,"Regular High School Diploma","Full Time","Never Married",FALSE,"Democrat","Curits","Teacher"
35,"Pennsylvania",58267.52,"Bachelor's Degree","Full Time","Widowed",FALSE,"Republican","Karif","Data Scientist"
57,"Kansas",49524.17,"Some College, Less than 1 Year","Full Time","Never Married",FALSE,"Republican","Kellymarie","Farmer"
38,"Florida",45363.2,"9th Grade to 12th Grade, No Diploma","Student","Widowed",FALSE,"Democrat","Aftab","Data Scientist"
52,"California",55540.21,"Some College, 1 or More Years, No Degree","Full Time","Separated",FALSE,"Republican","Laylagrace","Unemployed"
64,"New York",17764.73,"Some College, 1 or More Years, No Degree","Student","Separated",FALSE,"Democrat","Abdulnasir","Lawyer"
44,"California",76677.75,"Nursery School to 8th Grade","Retired","Widowed",TRUE,"Democrat","Anzleigh","Construction"
61,"Colorado",39558.28,"Associate's Degree","Full Time","Never Married",FALSE,"Republican","Katryn","Marketer"
18,"California",8218.65,"Regular High School Diploma","Full Time","Widowed",FALSE,"Democrat","Saaketh","Data Scientist"
24,"Wisconsin",34861.51,"Some College, Less than 1 Year","Full Time","Widowed",FALSE,"Democrat","Tei","Data Scientist"
49,"New Jersey",26708.76,"Some College, 1 or More Years, No Degree","Full Time","Divorced",FALSE,"Republican","Mileigh","Marketer"
20,"New York",65850.84,"Regular High School Diploma","Unemployed","Married",FALSE,"Democrat","Nathalie","Lawyer"
41,"Pennsylvania",70691.65,"Regular High School Diploma","Retired","Married",FALSE,"Democrat","Bachir","Lawyer"
48,"Georgia",22211.67,"Associate's Degree","Retired","Never Married",FALSE,"Democrat","Naraly","Unemployed"
32,"New York",36975.7,"Bachelor's Degree","Retired","Separated",TRUE,"Democrat","Blakeleigh","Doctor"
43,"Illinois",39012.72,"Bachelor's Degree","Full Time","Divorced",FALSE,"Republican","Leelend","Teacher"
83,"Indiana",55113.99,"Professional School Degree","Full Time","Never Married",FALSE,"Republican","Caliya","Lawyer"
20,"Florida",10897.89,"Some College, 1 or More Years, No Degree","Full Time","Separated",FALSE,"Democrat","Leha","Marketer"
65,"Massachusetts",57537.44,"Bachelor's Degree","Full Time","Never Married",FALSE,"Democrat","Jaques","Teacher"
89,"Maryland",2246.28,"9th Grade to 12th Grade, No Diploma","Full Time","Divorced",FALSE,"Democrat","Isatu","Teacher"
67,"Oregon",12887.75,"Associate's Degree","Part Time","Widowed",FALSE,"Democrat","Trevarius","Unemployed"
64,"Alabama",20623.5,"Regular High School Diploma","Full Time","Never Married",FALSE,"Democrat","Ranzino","Farmer"
48,"Oklahoma",16717.07,"Regular High School Diploma","Full Time","Separated",TRUE,"Democrat","Liammichael","Unemployed"
48,"Minnesota",98106.65,"Associate's Degree","Retired","Married",FALSE,"Republican","Jace","Construction"
46,"California",24305.4,"Some College, 1 or More Years, No Degree","Retired","Never Married",FALSE,"Democrat","Florecita","Marketer"
42,"Georgia",41955.98,"Master's Degree","Full Time","Widowed",TRUE,"Democrat","Rockey","Marketer"
63,"Mississippi",37425.48,"Regular High School Diploma","Retired","Divorced",FALSE,"Democrat","Liadan","Farmer"
41,"Massachusetts",20583.54,"Some College, 1 or More Years, No Degree","Part Time","Never Married",FALSE,"Republican","Jadonte","Unemployed"
50,"Texas",30729,"9th Grade to 12th Grade, No Diploma","Full Time","Never Married",FALSE,"Republican","Jayshon","Lawyer"
28,"South Dakota",26535.01,"Regular High School Diploma","Full Time","Married",TRUE,"Democrat","Vielka","Farmer"
53,"Illinois",39433.47,"Bachelor's Degree","Full Time","Separated",TRUE,"Republican","Marvel","Data Scientist"
53,"Georgia",114844.8,"Regular High School Diploma","Full Time","Widowed",FALSE,"Democrat","Yasuhiro","Farmer"
24,"California",35175.41,"Bachelor's Degree","Part Time","Never Married",FALSE,"Republican","Genesee","Unemployed"
73,"Arizona",95628.79,"Some College, Less than 1 Year","Full Time","Divorced",FALSE,"Republican","Dolorous","Teacher"
89,"Ohio",36442.11,"9th Grade to 12th Grade, No Diploma","Full Time","Separated",FALSE,"Democrat","Porscha","Unemployed"
84,"Maryland",15779.19,"Associate's Degree","Unemployed","Married",TRUE,"Republican","Jailen","Unemployed"
19,"Missouri",17330.07,"9th Grade to 12th Grade, No Diploma","Part Time","Never Married",FALSE,"Democrat","Paightyn","Lawyer"
70,"Indiana",82022.99,"Associate's Degree","Full Time","Separated",FALSE,"Democrat","Tadayoshi","Marketer"
27,"Ohio",28732.15,"Associate's Degree","Retired","Divorced",FALSE,"Democrat","Elpidia","Data Scientist"
69,"Missouri",68462.31,"Bachelor's Degree","Full Time","Separated",FALSE,"Republican","Jabryan","Lawyer"
27,"Michigan",40698.56,"Some College, 1 or More Years, No Degree","Full Time","Widowed",FALSE,"Democrat","Suliman","Teacher"
52,"Virginia",24774.5,"Regular High School Diploma","Full Time","Widowed",FALSE,"Democrat","Ninasimone","Marketer"
66,"Mississippi",13994.6,"GED or Alternative Credential","Part Time","Never Married",FALSE,"Democrat","Johah","Doctor"
75,"California",43947.08,"Associate's Degree","Unemployed","Married",FALSE,"Democrat","Temi","Unemployed"
71,"Montana",17440.75,"9th Grade to 12th Grade, No Diploma","Full Time","Separated",FALSE,"Republican","Moana","Farmer"
77,"Massachusetts",26571.38,"Bachelor's Degree","Full Time","Married",TRUE,"Democrat","Aishat","Teacher"
62,"Texas",14600.78,"Bachelor's Degree","Unemployed","Never Married",FALSE,"Republican","Senaya","Construction"
81,"Maryland",91151.52,"Some College, 1 or More Years, No Degree","Full Time","Never Married",FALSE,"Democrat","Ako","Data Scientist"
61,"North Carolina",39196.16,"Master's Degree","Full Time","Separated",FALSE,"Republican","Zilphia","Farmer"
56,"Massachusetts",100918.17,"Some College, 1 or More Years, No Degree","Student","Married",FALSE,"Democrat","Wyvonna","Farmer"
79,"California",11365.83,"Bachelor's Degree","Student","Widowed",FALSE,"Republican","Lemont","Data Scientist"
55,"North Carolina",43577.69,"Bachelor's Degree","Full Time","Divorced",FALSE,"Republican","Milli","Marketer"
77,"Texas",23080.73,"Regular High School Diploma","Full Time","Widowed",FALSE,"Republican","Japera","Unemployed"
43,"Virginia",22122.21,"Associate's Degree","Full Time","Separated",FALSE,"Republican","Jabreel","Construction"
18,"Kansas",6526.4,"Regular High School Diploma","Full Time","Married",FALSE,"Democrat","Tamaree","Data Scientist"
44,"California",50508.39,"Regular High School Diploma","Full Time","Never Married",FALSE,"Republican","Montaz","Doctor"
89,"Pennsylvania",69467.75,"Some College, Less than 1 Year","Full Time","Widowed",FALSE,"Republican","Cailie","Teacher"
78,"North Carolina",74388.87,"Bachelor's Degree","Full Time","Separated",FALSE,"Republican","Chontel","Marketer"
33,"Hawaii",5740.14,"Doctorate Degree","Full Time","Widowed",FALSE,"Republican","Murtis","Data Scientist"
25,"Tennessee",101121.32,"Some College, Less than 1 Year","Full Time","Married",FALSE,"Democrat","Haely","Teacher"
42,"California",27337.32,"Bachelor's Degree","Full Time","Divorced",FALSE,"Republican","Toyia","Farmer"
86,"Nebraska",27055.85,"Some College, 1 or More Years, No Degree","Full Time","Never Married",FALSE,"Green","Zamani","Lawyer"
81,"Washington",15670.06,"Regular High School Diploma","Full Time","Widowed",FALSE,"Democrat","Josalyn","Construction"
87,"Louisiana",39724.93,"Regular High School Diploma","Full Time","Separated",FALSE,"Democrat","Heneretta","Teacher"
67,"Michigan",84831.12,"9th Grade to 12th Grade, No Diploma","Full Time","Separated",FALSE,"Democrat","Wwlliam","Teacher"
69,"Ohio",47187.61,"Some College, 1 or More Years, No Degree","Full Time","Widowed",FALSE,"Republican","Avlyn","Doctor"
24,"Massachusetts",11644.51,"9th Grade to 12th Grade, No Diploma","Full Time","Separated",FALSE,"Democrat","Lismarie","Unemployed"
62,"Louisiana",42098.19,"Regular High School Diploma","Full Time","Widowed",FALSE,"Democrat","Lauriel","Unemployed"
81,"Michigan",15645.73,"Bachelor's Degree","Full Time","Divorced",FALSE,"Republican","Jannete","Marketer"
88,"Texas",66170.14,"Associate's Degree","Retired","Widowed",FALSE,"Democrat","Harvard","Teacher"
60,"South Carolina",47432.91,"Bachelor's Degree","Full Time","Married",FALSE,"Republican","Lael","Marketer"
40,"Texas",52134.69,"9th Grade to 12th Grade, No Diploma","Unemployed","Never Married",FALSE,"Democrat","Karie","Unemployed"
48,"New York",30701.96,"GED or Alternative Credential","Student","Married",FALSE,"Democrat","Tamesa","Marketer"
43,"Georgia",31023.72,"Some College, Less than 1 Year","Unemployed","Divorced",FALSE,"Republican","Ignacio","Unemployed"
49,"Oregon",15437.79,"Bachelor's Degree","Retired","Divorced",FALSE,"Republican","Maesie","Teacher"
45,"Michigan",14724.94,"Some College, 1 or More Years, No Degree","Full Time","Married",FALSE,"Democrat","Leathea","Doctor"
79,"Indiana",24986.3,"Associate's Degree","Full Time","Widowed",FALSE,"Democrat","Nelsy","Construction"
83,"Pennsylvania",44520.26,"Bachelor's Degree","Full Time","Married",FALSE,"Republican","Kupaa","Teacher"
70,"Texas",50226.37,"Regular High School Diploma","Full Time","Divorced",FALSE,"Republican","Storey","Unemployed"
33,"New York",17973.62,"Bachelor's Degree","Part Time","Divorced",TRUE,"Republican","Taline","Marketer"
29,"Washington",8387.79,"Regular High School Diploma","Part Time","Separated",TRUE,"Republican","Jency","Construction"
58,"Oregon",15332.64,"Regular High School Diploma","Full Time","Separated",FALSE,"Republican","Kish","Farmer"
43,"New York",36529.4,"9th Grade to 12th Grade, No Diploma","Full Time","Divorced",FALSE,"Democrat","Shadoe","Doctor"
36,"North Carolina",88030.77,"9th Grade to 12th Grade, No Diploma","Full Time","Divorced",FALSE,"Democrat","Markest","Data Scientist"
82,"Texas",45797.71,"Bachelor's Degree","Retired","Widowed",FALSE,"Republican","Jovahni","Unemployed"
46,"Texas",26465.61,"Regular High School Diploma","Part Time","Never Married",FALSE,"Democrat","Mccartney","Construction"
58,"Wisconsin",12562.82,"Regular High School Diploma","Full Time","Married",TRUE,"Democrat","Garyson","Lawyer"
70,"Wisconsin",25422.66,"Some College, 1 or More Years, No Degree","Student","Married",TRUE,"Democrat","Ahlaysia","Unemployed"
34,"Florida",7538.66,"Some College, 1 or More Years, No Degree","Full Time","Widowed",FALSE,"Republican","Autom","Construction"
37,"North Carolina",5511.85,"Bachelor's Degree","Full Time","Never Married",FALSE,"Democrat","Brennyn","Data Scientist"
82,"Arizona",45341.84,"Bachelor's Degree","Part Time","Divorced",FALSE,"Republican","Alaunna","Doctor"
26,"Florida",24707.72,"Bachelor's Degree","Full Time","Never Married",FALSE,"Democrat","Taron","Teacher"
63,"New Jersey",19354.57,"Some College, Less than 1 Year","Full Time","Divorced",FALSE,"Republican","Eamon","Marketer"
59,"Tennessee",50857.09,"Bachelor's Degree","Full Time","Separated",FALSE,"Democrat","Mikenya","Data Scientist"
88,"Indiana",91427.8,"Nursery School to 8th Grade","Full Time","Divorced",FALSE,"Democrat","Khalim","Construction"
61,"Rhode Island",28450.54,"Regular High School Diploma","Retired","Separated",FALSE,"Democrat","Hasitha","Doctor"
46,"Florida",7644.62,"Regular High School Diploma","Full Time","Divorced",FALSE,"Democrat","Shynell","Lawyer"
60,"Maryland",65513.76,"Some College, 1 or More Years, No Degree","Full Time","Widowed",FALSE,"Democrat","Demaro","Construction"
69,"New Hampshire",20250.91,"Regular High School Diploma","Full Time","Separated",FALSE,"Democrat","Maretha","Doctor"
74,"Alabama",33301.27,"Bachelor's Degree","Full Time","Widowed",FALSE,"Democrat","Alonta","Construction"
45,"Washington",18679.63,"Some College, 1 or More Years, No Degree","Full Time","Widowed",FALSE,"Democrat","Quincie","Unemployed"
25,"Georgia",28948.4,"Nursery School to 8th Grade","Full Time","Divorced",TRUE,"Republican","Fode","Lawyer"
40,"Indiana",77461.22,"Bachelor's Degree","Full Time","Never Married",FALSE,"Democrat","Markwilliam","Unemployed"
35,"Virginia",48550.83,"Bachelor's Degree","Full Time","Married",FALSE,"Democrat","Benje","Data Scientist"
43,"Arizona",58419.15,"Regular High School Diploma","Student","Never Married",FALSE,"Democrat","Dillin","Construction"
78,"New York",61308.21,"Some College, 1 or More Years, No Degree","Full Time","Widowed",FALSE,"Democrat","Dollicia","Unemployed"
37,"New York",95541.31,"Some College, 1 or More Years, No Degree","Part Time","Separated",FALSE,"Republican","Synaya","Unemployed"
58,"Tennessee",33015.5,"Regular High School Diploma","Full Time","Never Married",FALSE,"Republican","Zareyah","Doctor"
68,"Washington",37511.6,"Regular High School Diploma","Full Time","Widowed",FALSE,"Republican","Shikha","Data Scientist"
26,"California",22874.45,"Bachelor's Degree","Unemployed","Divorced",TRUE,"Republican","Reya","Marketer"
60,"Texas",15454.99,"Some College, Less than 1 Year","Student","Divorced",FALSE,"Democrat","Maariyah","Farmer"
53,"Texas",6262.76,"Bachelor's Degree","Unemployed","Separated",FALSE,"Republican","Deaglan","Farmer"
37,"Michigan",21833.43,"Nursery School to 8th Grade","Full Time","Divorced",TRUE,"Republican","Tavionna","Marketer"
81,"West Virginia",70178.47,"GED or Alternative Credential","Retired","Never Married",FALSE,"Democrat","Dorita","Marketer"
76,"Minnesota",49457.33,"Associate's Degree","Full Time","Separated",FALSE,"Republican","Jacqualine","Marketer"
61,"Wisconsin",50187.33,"Master's Degree","Full Time","Divorced",TRUE,"Republican","Mennie","Construction"
88,"California",43172.12,"Associate's Degree","Unemployed","Married",FALSE,"Republican","Yorgelis","Lawyer"
26,"Georgia",25773.02,"Regular High School Diploma","Full Time","Married",FALSE,"Democrat","Ninia","Teacher"
29,"Texas",30875.34,"Nursery School to 8th Grade","Full Time","Never Married",FALSE,"Democrat","Zoeyann","Construction"
81,"Texas",27430.91,"Some College, 1 or More Years, No Degree","Student","Divorced",FALSE,"Republican","Melinah","Marketer"
84,"Oklahoma",11859.64,"Regular High School Diploma","Full Time","Married",FALSE,"Republican","Charry","Construction"
61,"Colorado",13725.15,"Some College, Less than 1 Year","Student","Widowed",FALSE,"Democrat","Anashe","Data Scientist"
42,"Alabama",21884.37,"Professional School Degree","Retired","Married",FALSE,"Democrat","Merryn","Marketer"
41,"New Jersey",37297.6,"No Schooling Completed","Part Time","Separated",FALSE,"Democrat","Sosuke","Data Scientist"
22,"New Hampshire",55167.92,"Master's Degree","Retired","Divorced",FALSE,"Constitution","Mourad","Doctor"
55,"Tennessee",65269.57,"Master's Degree","Full Time","Divorced",FALSE,"Republican","Shelette","Teacher"
49,"Kansas",59847.13,"Master's Degree","Part Time","Never Married",TRUE,"Democrat","Sabastien","Teacher"
23,"Kansas",39734.42,"Some College, 1 or More Years, No Degree","Full Time","Widowed",FALSE,"Democrat","Nisarg","Unemployed"
38,"Texas",5697.82,"Some College, Less than 1 Year","Full Time","Married",FALSE,"Republican","Searia","Teacher"
29,"Ohio",83119.77,"Bachelor's Degree","Full Time","Widowed",FALSE,"Democrat","Tomo","Marketer"
69,"California",146941.41,"9th Grade to 12th Grade, No Diploma","Retired","Never Married",FALSE,"Republican","Aleathea","Teacher"
33,"Colorado",10665.78,"Some College, Less than 1 Year","Student","Married",FALSE,"Democrat","Melaina","Farmer"
22,"Colorado",36587.62,"Some College, 1 or More Years, No Degree","Retired","Divorced",TRUE,"Democrat","Maylia","Doctor"
77,"Connecticut",14582.2,"Regular High School Diploma","Full Time","Separated",FALSE,"Democrat","Khrysta","Lawyer"
68,"Georgia",19049.73,"Master's Degree","Full Time","Never Married",TRUE,"Republican","Geneil","Data Scientist"
74,"Texas",15893.95,"Some College, 1 or More Years, No Degree","Part Time","Never Married",FALSE,"Republican","Berney","Construction"
27,"Pennsylvania",33373.53,"Associate's Degree","Unemployed","Separated",FALSE,"Democrat","Jeromee","Lawyer"
38,"New York",16157.09,"9th Grade to 12th Grade, No Diploma","Retired","Married",FALSE,"Democrat","Indica","Teacher"
42,"New York",79181.74,"Regular High School Diploma","Full Time","Divorced",TRUE,"Democrat","Ladonn","Teacher"
87,"Florida",39576.32,"9th Grade to 12th Grade, No Diploma","Full Time","Separated",FALSE,"Democrat","Akaiya","Data Scientist"
31,"Texas",8654.56,"Some College, Less than 1 Year","Student","Separated",FALSE,"Democrat","Jeffree","Teacher"
34,"California",17479.9,"Regular High School Diploma","Student","Married",FALSE,"Republican","Metzly","Construction"
25,"Indiana",25288.35,"Some College, 1 or More Years, No Degree","Unemployed","Widowed",FALSE,"Democrat","Dede","Farmer"
49,"California",37268.56,"GED or Alternative Credential","Full Time","Married",FALSE,"Republican","Abbot","Data Scientist"
35,"North Carolina",82793.73,"Regular High School Diploma","Full Time","Divorced",FALSE,"Democrat","Larizza","Unemployed"
76,"Texas",25010.18,"Regular High School Diploma","Full Time","Widowed",FALSE,"Democrat","Axtyn","Teacher"
86,"Massachusetts",71661.51,"Some College, 1 or More Years, No Degree","Full Time","Divorced",FALSE,"Republican","Jahdai","Doctor"
86,"New York",26488.79,"9th Grade to 12th Grade, No Diploma","Part Time","Widowed",FALSE,"Democrat","Nechemya","Lawyer"
83,"Indiana",18638.59,"Bachelor's Degree","Full Time","Never Married",FALSE,"Democrat","Salonge","Data Scientist"
66,"New York",46210.7,"Regular High School Diploma","Student","Divorced",TRUE,"Democrat","Evalia","Data Scientist"
54,"North Carolina",72293.34,"Bachelor's Degree","Full Time","Divorced",FALSE,"Republican","Yanick","Construction"
24,"Oregon",50785.5,"Doctorate Degree","Full Time","Divorced",FALSE,"Democrat","Kostanty","Construction"
30,"Illinois",26049.67,"Professional School Degree","Full Time","Divorced",FALSE,"Republican","Chipper","Teacher"
70,"New York",19582.4,"Regular High School Diploma","Unemployed","Divorced",FALSE,"Republican","Shameen","Marketer"
50,"California",80863.89,"Bachelor's Degree","Student","Widowed",TRUE,"Republican","Dilany","Marketer"
40,"Ohio",2440.17,"Regular High School Diploma","Retired","Never Married",FALSE,"Democrat","Waqas","Farmer"
36,"New Jersey",32876.11,"Regular High School Diploma","Unemployed","Separated",FALSE,"Democrat","Leah","Farmer"
32,"Massachusetts",142429.59,"Some College, 1 or More Years, No Degree","Full Time","Married",FALSE,"Democrat","Aunica","Doctor"
74,"Wisconsin",16581.14,"Nursery School to 8th Grade","Retired","Never Married",FALSE,"Democrat","Quazar","Doctor"
40,"California",24057.06,"Bachelor's Degree","Unemployed","Separated",FALSE,"Democrat","Roaa","Lawyer"
82,"South Carolina",72335.24,"Bachelor's Degree","Full Time","Widowed",FALSE,"Republican","Joi","Construction"
54,"Texas",44066.33,"Bachelor's Degree","Full Time","Married",FALSE,"Democrat","Syretta","Construction"
29,"California",39400.12,"Some College, 1 or More Years, No Degree","Retired","Separated",FALSE,"Democrat","Aubriannah","Lawyer"
36,"South Carolina",32484.03,"GED or Alternative Credential","Full Time","Married",FALSE,"Republican","Marra","Data Scientist"
48,"Utah",23010.26,"No Schooling Completed","Full Time","Widowed",FALSE,"Republican","Jazmein","Farmer"
21,"Texas",19729.6,"Bachelor's Degree","Full Time","Married",FALSE,"Democrat","Genysis","Construction"
47,"Virginia",11775.78,"Master's Degree","Full Time","Never Married",FALSE,"Republican","Franz","Teacher"
82,"South Carolina",59746.16,"Some College, 1 or More Years, No Degree","Retired","Married",FALSE,"Republican","Landin","Teacher"
53,"Missouri",35605.77,"Regular High School Diploma","Retired","Widowed",TRUE,"Republican","Saviour","Unemployed"
67,"California",21475.13,"Bachelor's Degree","Full Time","Divorced",FALSE,"Democrat","Cleatis","Marketer"
42,"North Carolina",41157.6,"Bachelor's Degree","Student","Married",FALSE,"Democrat","Khamari","Doctor"
87,"North Carolina",61915.61,"Regular High School Diploma","Retired","Never Married",FALSE,"Republican","Geneice","Data Scientist"
76,"Oklahoma",23260.33,"Regular High School Diploma","Retired","Divorced",FALSE,"Democrat","Jaking","Teacher"
80,"New York",49415.15,"Regular High School Diploma","Full Time","Divorced",FALSE,"Democrat","Altovise","Construction"
68,"New York",9137.51,"Bachelor's Degree","Part Time","Never Married",FALSE,"Republican","Tammyann","Teacher"
29,"Virginia",86782.37,"Regular High School Diploma","Full Time","Never Married",FALSE,"Republican","Bayli","Farmer"
47,"Florida",74881.77,"Regular High School Diploma","Retired","Never Married",FALSE,"Democrat","Davis","Marketer"
54,"New Jersey",24334.96,"9th Grade to 12th Grade, No Diploma","Full Time","Widowed",FALSE,"Democrat","Shalymar","Doctor"
35,"Oklahoma",29467.68,"Associate's Degree","Full Time","Widowed",FALSE,"Republican","Shevin","Teacher"
27,"New York",5727.91,"Some College, Less than 1 Year","Unemployed","Widowed",FALSE,"Democrat","Kambra","Construction"
77,"Minnesota",38125.07,"No Schooling Completed","Full Time","Divorced",TRUE,"Republican","Turina","Construction"
61,"Oklahoma",24006.68,"GED or Alternative Credential","Part Time","Widowed",FALSE,"Democrat","Cynda","Doctor"
